,brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,estimated_range,range_diff_pct,range_per_kWh,speed_efficiency_ratio,performance_index,range_category,charge_rate_kw_per_kWh,eco_score,battery_capacity_binned,range_binned,battery_capacity_binarized,range_binarized
0,Abarth,500e Convertible,155,37.8,Lithium-ion,235.0,156,225,7.0,67.0,CCS,0.0,185,4,FWD,B - Compact,Hatchback,242.30769230769232,7.692307692307699,5.9523809523809526,0.9935897435897436,22.142857142857142,Shkurt,1.7724867724867726,3.3028388278388277,0,0,1.0,1
1,Abarth,500e Hatchback,155,37.8,Lithium-ion,235.0,149,225,7.0,67.0,CCS,0.0,185,4,FWD,B - Compact,Hatchback,253.69127516778522,12.751677852348987,5.9523809523809526,1.0402684563758389,22.142857142857142,Shkurt,1.7724867724867726,3.3168424416746562,0,0,1.0,1
2,Abarth,600e Scorpionissima,200,50.8,Lithium-ion,345.0,158,280,5.9,79.0,CCS,0.0,360,5,FWD,JB - Compact,SUV,321.5189873417722,14.828209764918634,5.511811023622047,1.2658227848101267,33.89830508474576,Shkurt,1.5551181102362206,3.169550652338807,1,1,1.0,1
3,Abarth,600e Turismo,200,50.8,Lithium-ion,345.0,158,280,6.2,79.0,CCS,0.0,360,5,FWD,JB - Compact,SUV,321.5189873417722,14.828209764918634,5.511811023622047,1.2658227848101267,32.25806451612903,Shkurt,1.5551181102362206,3.1679104117701904,1,1,1.0,1
4,Aiways,U5,150,60.0,Lithium-ion,310.0,156,315,7.5,78.0,CCS,,496,5,FWD,JC - Medium,SUV,384.61538461538464,22.100122100122107,5.25,0.9615384615384616,20.0,Mesatar,1.3,2.940128205128205,2,1,1.0,1
5,Aiways,U6,160,60.0,Lithium-ion,315.0,150,350,7.0,78.0,CCS,,472,5,FWD,JC - Medium,SUV,400.0,14.285714285714285,5.833333333333333,1.0666666666666667,22.857142857142858,Mesatar,1.3,3.265238095238095,2,1,1.0,1
6,Alfa,Romeo Junior Elettrica 54 kWh,150,50.8,Lithium-ion,260.0,128,320,9.0,85.0,CCS,0.0,400,5,FWD,JB - Compact,SUV,396.875,24.0234375,6.299212598425197,1.171875,16.666666666666668,Mesatar,1.673228346456693,3.5233910214348207,1,1,1.0,1
7,Alfa,Romeo Junior Elettrica 54 kWh Veloce,200,50.8,Lithium-ion,345.0,164,310,6.0,85.0,CCS,0.0,400,5,FWD,JB - Compact,SUV,309.7560975609756,0.07867820613690187,6.10236220472441,1.2195121951219512,33.333333333333336,Mesatar,1.673228346456693,3.4503680942321235,1,1,1.0,1
8,Alpine,A290 Electric 180 hp,160,52.0,Lithium-ion,285.0,138,310,7.4,70.0,CCS,500.0,326,5,FWD,B - Compact,Hatchback,376.81159420289856,21.552127162225343,5.961538461538462,1.1594202898550725,21.62162162162162,Mesatar,1.3461538461538463,3.3556223447527795,1,1,1.0,1
9,Alpine,A290 Electric 220 hp,170,52.0,Lithium-ion,300.0,144,305,6.4,70.0,CCS,500.0,326,5,FWD,B - Compact,Hatchback,361.1111111111111,18.397085610200357,5.865384615384615,1.1805555555555556,26.5625,Mesatar,1.3461538461538463,3.318108974358974,1,1,1.0,1
10,Audi,A6 Avant e-tron,210,75.8,Lithium-ion,435.0,146,465,6.0,150.0,CCS,2100.0,502,5,RWD,JE - Executive,Station/Estate,519.1780821917808,11.65120047135072,6.1345646437994725,1.4383561643835616,35.0,Mesatar,1.978891820580475,3.532122504548138,2,3,1.0,1
